"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1.02,-81.8291244463019,-79.3676709787619,-81.8362102998246,-81.8209567727223,-79.3438053352951,-81.8097931347583
1.02033333333333,-81.8216861753696,-79.3568000776132,-81.8286882601392,-81.8132887771079,-79.3329258594322,-81.8024316942607
1.02066666666667,-81.8142363256929,-79.3459217317751,-81.8211545386392,-81.8056090924103,-79.3220389256765,-81.7950587449506
1.021,-81.8067748745809,-79.3350359338954,-81.8136091130478,-81.7979176970375,-79.3111445266099,-81.7876742642206
1.02133333333333,-81.7993017993225,-79.3241426766142,-81.8060519610704,-81.7902145693819,-79.3002426548067,-81.7802782294421
1.02166666666667,-81.7918170771868,-79.3132419525645,-81.7984830603951,-81.7824996878197,-79.2893333028335,-81.7728706179651
1.022,-81.7843206854235,-79.3023337543713,-81.7909023886925,-81.7747730307117,-79.2784164632492,-81.7654514071187
1.02233333333333,-81.7768126012624,-79.2914180746523,-81.783309923616,-81.7670345764031,-79.2674921286051,-81.7580205742109
1.02266666666667,-81.7692928019142,-79.2804949060175,-81.7757056428017,-81.7592843032238,-79.2565602914444,-81.750578096529
1.023,-81.7617612645704,-79.2695642410693,-81.7680895238692,-81.7515221894882,-79.2456209443029,-81.7431239513396
1.02333333333333,-81.7542179664031,-79.2586260724025,-81.7604615444207,-81.7437482134958,-79.2346740797084,-81.7356581158886
1.02366666666667,-81.7466628845655,-79.2476803926041,-81.7528216820423,-81.7359623535309,-79.2237196901809,-81.7281805674016
1.024,-81.7390959961922,-79.2367271942535,-81.745169914303,-81.7281645878631,-79.2127577682326,-81.7206912830838
1.02433333333333,-81.7315172783988,-79.2257664699222,-81.7375062187558,-81.7203548947471,-79.2017883063677,-81.7131902401203
1.02466666666667,-81.7239267082824,-79.214798212174,-81.7298305729373,-81.7125332524232,-79.1908112970827,-81.7056774156761
1.025,-81.7163242629219,-79.2038224135652,-81.722142954368,-81.704699639117,-79.1798267328658,-81.6981527868963
1.02533333333333,-81.7087099193776,-79.1928390666438,-81.7144433405523,-81.6968540330398,-79.1688346061976,-81.6906163309063
1.02566666666667,-81.7010836546919,-79.1818481639503,-81.7067317089789,-81.6889964123889,-79.1578349095505,-81.6830680248119
1.026,-81.6934454458891,-79.1708496980172,-81.6990080371208,-81.6811267553472,-79.1468276353889,-81.6755078456992
1.02633333333333,-81.6857952699756,-79.1598436613691,-81.6912723024353,-81.673245040084,-79.1358127761692,-81.6679357706351
1.02666666666667,-81.6781331039402,-79.1488300465228,-81.6835244823645,-81.6653512447546,-79.1247903243397,-81.6603517766673
1.027,-81.670458924754,-79.1378088459869,-81.6757645543351,-81.6574453475007,-79.1137602723406,-81.6527558408243
1.02733333333333,-81.6627727093708,-79.1267800522622,-81.6679924957588,-81.6495273264505,-79.1027226126039,-81.6451479401157
1.02766666666667,-81.6550744347271,-79.1157436578415,-81.6602082840321,-81.6415971597187,-79.0916773375536,-81.6375280515324
1.028,-81.6473640777423,-79.1046996552096,-81.6524118965371,-81.633654825407,-79.0806244396053,-81.6298961520464
1.02833333333333,-81.6396416153188,-79.0936480368429,-81.6446033106407,-81.6257003016037,-79.0695639111666,-81.6222522186115
1.02866666666667,-81.6319070243419,-79.0825887952102,-81.6367825036957,-81.6177335663844,-79.0584957446367,-81.6145962281628
1.029,-81.6241602816807,-79.0715219227719,-81.6289494530403,-81.6097545978118,-79.0474199324065,-81.6069281576173
1.02933333333333,-81.6164013641874,-79.0604474119801,-81.6211041359985,-81.6017633739357,-79.0363364668588,-81.5992479838739
1.02966666666667,-81.608630248698,-79.0493652552792,-81.6132465298804,-81.5937598727937,-79.0252453403679,-81.5915556838137
1.03,-81.6008469120322,-79.0382754451049,-81.605376611982,-81.5857440724109,-79.0141465452997,-81.5838512342996
1.03033333333333,-81.5930513309936,-79.0271779738849,-81.5974943595855,-81.5777159508,-79.0030400740118,-81.5761346121773
1.03066666666667,-81.58524348237,-79.0160728340387,-81.5895997499596,-81.5696754859617,-78.9919259188535,-81.5684057942747
1.031,-81.5774233429332,-79.0049600179773,-81.5816927603595,-81.5616226558848,-78.9808040721655,-81.5606647574023
1.03133333333333,-81.5695908894394,-78.9938395181037,-81.5737733680271,-81.5535574385462,-78.96967452628,-81.5529114783536
1.03166666666667,-81.5617460986297,-78.9827113268121,-81.5658415501911,-81.5454798119111,-78.9585372735208,-81.545145933905
1.032,-81.5538889472295,-78.9715754364888,-81.5578972840671,-81.5373897539332,-78.947392306203,-81.5373681008157
1.03233333333333,-81.5460194119491,-78.9604318395113,-81.5499405468581,-81.5292872425549,-78.9362396166335,-81.5295779558284
1.03266666666667,-81.538137469484,-78.9492805282489,-81.5419713157542,-81.5211722557073,-78.9250791971102,-81.5217754756691
1.033,-81.5302430965146,-78.9381214950624,-81.533989567933,-81.5130447713103,-78.9139110399226,-81.5139606370474
1.03333333333333,-81.5223362697068,-78.9269547323041,-81.5259952805599,-81.504904767273,-78.9027351373515,-81.5061334166564
1.03366666666667,-81.5144169657119,-78.9157802323177,-81.5179884307879,-81.4967522214938,-78.891551481669,-81.4982937911732
1.034,-81.5064851611668,-78.9045979874383,-81.5099689957578,-81.4885871118602,-78.8803600651386,-81.4904417372588
1.03433333333333,-81.4985408326944,-78.8934079899927,-81.5019369525989,-81.4804094162494,-78.8691608800149,-81.4825772315584
1.03466666666667,-81.4905839569033,-78.8822102322988,-81.4938922784285,-81.4722191125282,-78.8579539185437,-81.4747002507016
1.035,-81.4826145103882,-78.871004706666,-81.4858349503522,-81.4640161785532,-78.8467391729624,-81.4668107713021
1.03533333333333,-81.4746324697304,-78.859791405395,-81.4777649454644,-81.455800592171,-78.835516635499,-81.4589087699586
1.03566666666667,-81.4666378114973,-78.8485703207777,-81.4696822408483,-81.4475723312182,-78.824286298373,-81.4509942232544
1.036,-81.4586305122431,-78.8373414450974,-81.4615868135757,-81.4393313735218,-78.813048153795,-81.4430671077576
1.03633333333333,-81.4506105485087,-78.8261047706287,-81.4534786407077,-81.4310776968992,-78.8018021939666,-81.4351274000217
1.03666666666667,-81.4425778968219,-78.8148602896371,-81.4453576992946,-81.4228112791582,-78.7905484110803,-81.4271750765852
1.037,-81.4345325336976,-78.8036079943796,-81.437223966376,-81.4145320980975,-78.77928679732,-81.4192101139719
1.03733333333333,-81.4264744356381,-78.7923478771043,-81.4290774189812,-81.4062401315066,-78.7680173448603,-81.4112324886915
1.03766666666667,-81.418403579133,-78.7810799300502,-81.420918034129,-81.3979353571662,-78.7567400458668,-81.4032421772392
1.038,-81.4103199406595,-78.7698041454476,-81.4127457888284,-81.3896177528479,-78.745454892496,-81.395239156096
1.03833333333333,-81.4022234966826,-78.7585205155177,-81.4045606600782,-81.3812872963147,-78.7341618768954,-81.3872234017292
1.03866666666667,-81.3941142236553,-78.7472290324728,-81.3963626248675,-81.3729439653214,-78.7228609912033,-81.3791948905922
1.039,-81.3859920980185,-78.7359296885163,-81.3881516601758,-81.364587737614,-78.7115522275489,-81.3711535991247
1.03933333333333,-81.3778570962016,-78.7246224758425,-81.3799277429731,-81.3562185909308,-78.7002355780521,-81.3630995037529
1.03966666666667,-81.3697091946224,-78.7133073866364,-81.3716908502203,-81.3478365030016,-78.6889110348236,-81.3550325808899
1.04,-81.3615483696872,-78.7019844130742,-81.3634409588689,-81.3394414515485,-78.6775785899649,-81.3469528069355
1.04033333333333,-81.3533745977912,-78.6906535473228,-81.3551780458618,-81.3310334142861,-78.6662382355681,-81.3388601582767
1.04066666666667,-81.3451878553185,-78.6793147815401,-81.3469020881328,-81.3226123689212,-78.6548899637161,-81.3307546112875
1.041,-81.3369881186422,-78.6679681078745,-81.3386130626073,-81.3141782931532,-78.6435337664824,-81.3226361423294
1.04133333333333,-81.3287753641251,-78.6566135184655,-81.3303109462024,-81.3057311646743,-78.632169635931,-81.3145047277513
1.04166666666667,-81.3205495681191,-78.6452510054433,-81.3219957158266,-81.2972709611698,-78.6207975641167,-81.3063603438901
1.042,-81.312310706966,-78.6338805609285,-81.3136673483806,-81.2887976603178,-78.6094175430846,-81.2982029670702
1.04233333333333,-81.3040587569972,-78.6225021770327,-81.305325820757,-81.2803112397899,-78.5980295648705,-81.2900325736044
1.04266666666667,-81.2957936945343,-78.611115845858,-81.2969711098409,-81.2718116772508,-78.5866336215007,-81.2818491397933
1.043,-81.287515495889,-78.5997215594972,-81.2886031925097,-81.2632989503591,-78.5752297049916,-81.2736526419264
1.04333333333333,-81.2792241373633,-78.5883193100336,-81.2802220456333,-81.2547730367669,-78.5638178073506,-81.2654430562814
1.04366666666667,-81.27091959525,-78.5769090895411,-81.2718276460746,-81.2462339141203,-78.552397920575,-81.2572203591247
1.044,-81.2626018458323,-78.5654908900841,-81.2634199706894,-81.2376815600595,-78.5409700366527,-81.248984526712
1.04433333333333,-81.2542708653845,-78.5540647037173,-81.2549989963264,-81.2291159522186,-78.5295341475618,-81.2407355352875
1.04466666666667,-81.2459266301718,-78.5426305224863,-81.2465646998281,-81.2205370682266,-78.5180902452707,-81.2324733610853
1.045,-81.2375691164509,-78.5311883384266,-81.2381170580301,-81.2119448857067,-78.5066383217382,-81.2241979803283
1.04533333333333,-81.2291983004697,-78.5197381435645,-81.2296560477617,-81.2033393822769,-78.4951783689131,-81.2159093692295
1.04566666666667,-81.220814158468,-78.5082799299164,-81.2211816458463,-81.19472053555,-78.4837103787345,-81.2076075039915
1.046,-81.212416666677,-78.4968136894891,-81.2126938291011,-81.1860883231339,-78.4722343431317,-81.1992923608067
1.04633333333333,-81.2040058013202,-78.4853394142796,-81.2041925743375,-81.1774427226318,-78.460750254024,-81.1909639158579
1.04666666666667,-81.1955815386133,-78.4738570962753,-81.1956778583614,-81.1687837116422,-78.4492581033209,-81.1826221453181
1.047,-81.1871438547641,-78.4623667274538,-81.1871496579733,-81.1601112677591,-78.4377578829218,-81.1742670253508
