"Freq [GHz]","dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1.05533333333333,-0.051618356873093,-0.0513005142693315,-0.0511956593232989,-0.0514509092724893
1.05566666666667,-0.0516570342372888,-0.0513390011227601,-0.0512341522602607,-0.0514899205411428
1.056,-0.051695807427343,-0.0513775833458185,-0.0512727405862616,-0.0515290286871982
1.05633333333333,-0.0517346766862626,-0.0514162611800946,-0.05131142454332,-0.05156823395725
1.05666666666667,-0.0517736422578648,-0.0514550348679765,-0.0513502043742619,-0.0516075365987215
1.057,-0.0518127043867879,-0.0514939046526689,-0.0513890803227288,-0.0516469368598643
1.05733333333333,-0.0518518633184783,-0.0515328707781831,-0.051428052633174,-0.0516864349897554
1.05766666666667,-0.0518911192992166,-0.0515719334893483,-0.0514671215508654,-0.0517260312383238
1.058,-0.0519304725761029,-0.0516110930318139,-0.0515062873218945,-0.051765725856326
1.05833333333333,-0.0519699233970651,-0.051650349652049,-0.05154555019318,-0.0518055190953636
1.05866666666667,-0.0520094720108611,-0.0516897035973445,-0.0515849104124613,-0.0518454112078863
1.059,-0.0520491186670875,-0.0517291551158263,-0.051624368228311,-0.0518854024471888
1.05933333333333,-0.0520888636161769,-0.051768704456444,-0.0516639238901371,-0.051925493067425
1.05966666666667,-0.0521287071094071,-0.0518083518689883,-0.0517035776481808,-0.0519656833235977
1.06,-0.0521686493988906,-0.0518480976040854,-0.0517433297535227,-0.0520059734715736
1.06033333333333,-0.0522086907375985,-0.0518879419131957,-0.0517831804580953,-0.0520463637680811
1.06066666666667,-0.0522488313793453,-0.0519278850486357,-0.0518231300146655,-0.0520868544707097
1.061,-0.0522890715788043,-0.051967927263558,-0.051863178676857,-0.0521274458379284
1.06133333333333,-0.0523294115915061,-0.0520080688119735,-0.0519033266991428,-0.0521681381290643
1.06166666666667,-0.052369851673837,-0.052048309948746,-0.0519435743368557,-0.0522089316043347
1.062,-0.0524103920830561,-0.0520886509295931,-0.0519839218461873,-0.0522498265248267
1.06233333333333,-0.0524510330772857,-0.0521290920110967,-0.0520243694841903,-0.0522908231525149
1.06266666666667,-0.0524917749155127,-0.0521696334506964,-0.0520649175087859,-0.0523319217502596
1.063,-0.0525326178576135,-0.0522102755067085,-0.0521055661787626,-0.0523731225818073
1.06333333333333,-0.0525735621643286,-0.0522510184383133,-0.052146315753781,-0.052414425911803
1.06366666666667,-0.0526146080972857,-0.0522918625055677,-0.0521871664943885,-0.0524558320057821
1.064,-0.0526557559189945,-0.0523328079694004,-0.0522281186619955,-0.052497341130188
1.06433333333333,-0.0526970058928589,-0.0523738550916314,-0.0522691725189094,-0.0525389535523627
1.06466666666667,-0.0527383582831673,-0.0524150041349577,-0.0523103283283195,-0.0525806695405541
1.065,-0.0527798133551046,-0.0524562553629615,-0.0523515863543013,-0.0526224893639263
1.06533333333333,-0.0528213713747572,-0.0524976090401285,-0.0523929468618337,-0.0526644132925507
1.06566666666667,-0.0528630326091145,-0.052539065431824,-0.052434410116784,-0.0527064415974243
1.066,-0.0529047973260644,-0.0525806248043213,-0.0524759763859228,-0.0527485745504593
1.06633333333333,-0.0529466657944117,-0.0526222874247914,-0.0525176459369279,-0.0527908124244978
1.06666666666667,-0.0529886382838698,-0.0526640535613113,-0.0525594190383803,-0.0528331554933067
1.067,-0.0530307150650668,-0.0527059234828693,-0.0526012959597721,-0.0528756040315868
1.06733333333333,-0.053072896409559,-0.0527478974593597,-0.0526432769715192,-0.0529181583149794
1.06766666666667,-0.0531151825898157,-0.0527899757616,-0.0526853623449449,-0.0529608186200538
1.068,-0.0531575738792419,-0.0528321586613208,-0.0527275523523003,-0.0530035852243377
1.06833333333333,-0.0532000705521649,-0.0528744464311854,-0.0527698472667604,-0.0530464584063002
1.06866666666667,-0.0532426728838545,-0.0529168393447684,-0.052812247362432,-0.0530894384453555
1.069,-0.0532853811505143,-0.052959337676589,-0.0528547529143526,-0.0531325256218778
1.06933333333333,-0.0533281956292907,-0.0530019417020961,-0.0528973641984949,-0.0531757202172037
1.06966666666667,-0.0533711165982767,-0.0530446516976709,-0.0529400814917775,-0.0532190225136244
1.07,-0.0534141443365108,-0.0530874679406426,-0.0529829050720554,-0.0532624327944002
1.07033333333333,-0.0534572791239903,-0.0531303907092826,-0.0530258352181416,-0.0533059513437637
1.07066666666667,-0.0535005212416638,-0.0531734202828146,-0.0530688722097919,-0.0533495784469197
1.071,-0.0535438709714453,-0.0532165569414059,-0.0531120163277184,-0.0533933143900471
1.07133333333333,-0.0535873285962083,-0.0532598009661924,-0.0531552678535959,-0.0534371594603109
1.07166666666667,-0.0536308943997965,-0.0533031526392602,-0.0531986270700621,-0.053481113945865
1.072,-0.053674568667028,-0.0533466122436639,-0.0532420942607174,-0.0535251781358404
1.07233333333333,-0.053718351683694,-0.0533901800634265,-0.0532856697101361,-0.0535693523203758
1.07266666666667,-0.0537622437365669,-0.0534338563835391,-0.0533293537038658,-0.0536136367905979
1.073,-0.0538062451133992,-0.053477641489972,-0.0533731465284343,-0.0536580318386342
1.07333333333333,-0.0538503561029363,-0.0535215356696699,-0.0534170484713473,-0.0537025377576229
1.07366666666667,-0.0538945769949108,-0.0535655392105652,-0.0534610598211027,-0.0537471548417058
1.074,-0.0539389080800561,-0.0536096524015776,-0.0535051808671782,-0.0537918833860482
1.07433333333333,-0.0539833496500994,-0.0536538755326117,-0.0535494119000604,-0.0538367236868192
1.07466666666667,-0.0540279019977689,-0.0536982088945751,-0.0535937532112178,-0.0538816760412173
1.075,-0.0540725654168095,-0.0537426527793699,-0.0536382050931365,-0.0539267407474653
1.07533333333333,-0.0541173402019705,-0.0537872074799005,-0.0536827678392916,-0.0539719181048136
1.07566666666667,-0.0541622266490173,-0.0538318732900789,-0.0537274417441836,-0.0540172084135476
1.076,-0.0542072250547386,-0.0538766505048275,-0.0537722271033167,-0.0540626119749923
1.07633333333333,-0.0542523357169425,-0.0539215394200896,-0.0538171242132167,-0.0541081290915127
1.07666666666667,-0.054297558934466,-0.053966540332818,-0.0538621333714309,-0.054153760066519
1.077,-0.054342895007177,-0.0540116535409911,-0.0539072548765376,-0.0541995052044744
1.07733333333333,-0.0543883442359831,-0.0540568793436216,-0.0539524890281351,-0.0542453648108961
1.07766666666667,-0.054433906922825,-0.0541022180407427,-0.0539978361268637,-0.0542913391923525
1.078,-0.0544795833706967,-0.0541476699334329,-0.0540432964743989,-0.0543374286564926
1.07833333333333,-0.0545253738836285,-0.054193235323802,-0.0540888703734634,-0.0543836335120154
1.07866666666667,-0.0545712787667184,-0.054238914515007,-0.0541345581278202,-0.0544299540686997
1.079,-0.0546172983261079,-0.0542847078112551,-0.0541803600422902,-0.0544763906373979
1.07933333333333,-0.0546634328690073,-0.0543306155178005,-0.0542262764227413,-0.05452294353005
1.07966666666667,-0.0547096827036878,-0.0543766379409605,-0.0542723075761085,-0.054569613059666
1.08,-0.0547560481394963,-0.0544227753881045,-0.0543184538103905,-0.0546163995403589
1.08033333333333,-0.0548025294868422,-0.0544690281676737,-0.0543647154346451,-0.0546633032873275
1.08066666666667,-0.0548491270572287,-0.0545153965891732,-0.0544110927590155,-0.054710324616873
1.081,-0.0548958411632264,-0.0545618809631878,-0.0544575860947099,-0.0547574638463948
1.08133333333333,-0.0549426721185052,-0.0546084816013732,-0.0545041957540241,-0.0548047212944038
1.08166666666667,-0.0549896202378207,-0.0546551988164708,-0.0545509220503375,-0.0548520972805159
1.082,-0.0550366858370249,-0.0547020329223065,-0.0545977652981217,-0.0548995921254694
1.08233333333333,-0.0550838692330654,-0.0547489842338027,-0.0546447258129383,-0.0549472061511185
1.08266666666667,-0.0551311707440041,-0.0547960530669695,-0.0546918039114491,-0.0549949396804466
1.083,-0.0551785906890061,-0.0548432397389203,-0.054738999911421,-0.0550427930375609
1.08333333333333,-0.05522612938835,-0.0548905445678702,-0.0547863141317265,-0.0550907665477088
1.08366666666667,-0.0552737871634335,-0.05493796787315,-0.0548337468923531,-0.0551388605372714
1.084,-0.0553215643367785,-0.0549855099751962,-0.0548812985143978,-0.0551870753337736
1.08433333333333,-0.0553694612320308,-0.0550331711955616,-0.0549289693200882,-0.0552354112658938
1.08466666666667,-0.0554174781739744,-0.0550809518569298,-0.0549767596327732,-0.0552838686634576
1.085,-0.0554656154885222,-0.0551288522831038,-0.055024669776924,-0.0553324478574498
1.08533333333333,-0.055513873502732,-0.0551768727990182,-0.055072700078163,-0.0553811491800158
1.08566666666667,-0.0555622525448093,-0.05522501373075,-0.0551208508632401,-0.0554299729644707
1.086,-0.0556107529441057,-0.0552732754055068,-0.0551691224600507,-0.0554789195452997
1.08633333333333,-0.0556593750311284,-0.0553216581516501,-0.0552175151976458,-0.0555279892581636
1.08666666666667,-0.0557081191375488,-0.0553701622986872,-0.0552660294062184,-0.0555771824399074
1.087,-0.0557569855962034,-0.05541878817728,-0.0553146654171328,-0.0556264994285584
1.08733333333333,-0.0558059747410871,-0.0554675361192494,-0.0553634235629069,-0.0556759405633369
1.08766666666667,-0.0558550869073803,-0.0555164064575823,-0.0554123041772293,-0.0557255061846594
1.088,-0.0559043224314405,-0.0555653995264305,-0.0554613075949588,-0.0557751966341435
1.08833333333333,-0.0559536816508069,-0.0556145156611243,-0.0555104341521366,-0.0558250122546146
1.08866666666667,-0.0560031649042027,-0.0556637551981681,-0.055559684185983,-0.0558749533900993
1.089,-0.0560527725315536,-0.0557131184752509,-0.0556090580349029,-0.0559250203858518
1.08933333333333,-0.056102504873981,-0.0557626058312518,-0.055658556038498,-0.0559752135883391
1.08966666666667,-0.0561523622738058,-0.0558122176062371,-0.0557081785375603,-0.0560255333452618
1.09,-0.0562023450745587,-0.0558619541414773,-0.0557579258740918,-0.0560759800055396
1.09033333333333,-0.0562524536209864,-0.055911815779442,-0.0558077983912943,-0.0561265539193383
